,Pattern,Count,Percent
0,"(6, 1, 6)",23,11.6751269035533
1,"(1, 2, 6)",37,18.781725888324875
2,"(1, 6, 5)",20,10.152284263959391
3,"(1, 6, 1)",32,16.243654822335024
4,"(1, 7, 5)",1,0.5076142131979695
5,"(2, 6, 5)",4,2.030456852791878
6,"(3, 1, 3)",1,0.5076142131979695
7,"(4, 1, 2)",2,1.015228426395939
8,"(2, 7, 6)",1,0.5076142131979695
9,"(6, 2, 6)",7,3.5532994923857872
10,"(6, 2, 1)",13,6.598984771573605
11,"(1, 5, 1)",6,3.0456852791878175
12,"(2, 1, 2)",3,1.5228426395939088
13,"(3, 1, 7)",2,1.015228426395939
14,"(6, 5, 6)",3,1.5228426395939088
15,"(1, 7, 1)",2,1.015228426395939
16,"(1, 2, 1)",6,3.0456852791878175
17,"(1, 4, 1)",1,0.5076142131979695
18,"(6, 5, 3)",4,2.030456852791878
19,"(1, 5, 3)",5,2.5380710659898478
20,"(4, 5, 1)",1,0.5076142131979695
21,"(6, 1, 7)",2,1.015228426395939
22,"(2, 5, 1)",4,2.030456852791878
23,"(5, 1, 3)",1,0.5076142131979695
24,"(1, 3, 4)",2,1.015228426395939
25,"(1, 3, 1)",2,1.015228426395939
26,"(4, 1, 6)",2,1.015228426395939
27,"(6, 1, 5)",4,2.030456852791878
28,"(6, 1, 3)",4,2.030456852791878
29,"(5, 1, 5)",1,0.5076142131979695
30,"(6, 2, 5)",1,0.5076142131979695
