,Pattern,Count,Percent
0,"(6, 1, 6)",26,3.485254691689008
1,"(1, 2, 6)",57,7.640750670241286
2,"(1, 6, 5)",37,4.959785522788204
3,"(1, 6, 1)",41,5.495978552278821
4,"(1, 7, 5)",22,2.949061662198391
5,"(6, 1, 3)",10,1.3404825737265416
6,"(5, 3, 4)",38,5.093833780160858
7,"(3, 4, 7)",49,6.568364611260054
8,"(7, 6, 5)",14,1.876675603217158
9,"(3, 7, 6)",6,0.8042895442359249
10,"(6, 5, 3)",13,1.742627345844504
11,"(1, 7, 4)",3,0.40214477211796246
12,"(5, 1, 5)",5,0.6702412868632708
13,"(7, 5, 6)",2,0.2680965147453083
14,"(1, 7, 6)",25,3.351206434316354
15,"(1, 2, 3)",6,0.8042895442359249
16,"(1, 3, 4)",9,1.2064343163538873
17,"(4, 7, 6)",8,1.0723860589812333
18,"(5, 4, 7)",32,4.289544235924933
19,"(3, 4, 3)",5,0.6702412868632708
20,"(7, 4, 7)",6,0.8042895442359249
21,"(5, 3, 7)",30,4.021447721179625
22,"(2, 6, 5)",9,1.2064343163538873
23,"(3, 1, 3)",2,0.2680965147453083
24,"(4, 1, 2)",4,0.5361930294906166
25,"(2, 7, 6)",10,1.3404825737265416
26,"(5, 1, 4)",2,0.2680965147453083
27,"(7, 1, 3)",2,0.2680965147453083
28,"(4, 2, 6)",1,0.13404825737265416
29,"(2, 5, 3)",12,1.6085790884718498
30,"(5, 1, 2)",11,1.4745308310991956
31,"(6, 7, 3)",1,0.13404825737265416
32,"(4, 7, 1)",14,1.876675603217158
33,"(2, 3, 4)",8,1.0723860589812333
34,"(6, 2, 6)",9,1.2064343163538873
35,"(6, 2, 1)",18,2.4128686327077746
36,"(1, 5, 1)",9,1.2064343163538873
37,"(2, 1, 2)",5,0.6702412868632708
38,"(6, 2, 5)",6,0.8042895442359249
39,"(7, 2, 7)",3,0.40214477211796246
40,"(1, 5, 3)",26,3.485254691689008
41,"(3, 7, 3)",1,0.13404825737265416
42,"(7, 2, 6)",3,0.40214477211796246
43,"(6, 2, 4)",3,0.40214477211796246
44,"(3, 1, 7)",5,0.6702412868632708
45,"(2, 4, 7)",10,1.3404825737265416
46,"(7, 6, 7)",3,0.40214477211796246
47,"(5, 6, 5)",1,0.13404825737265416
48,"(4, 7, 4)",9,1.2064343163538873
49,"(6, 5, 6)",4,0.5361930294906166
50,"(7, 5, 7)",3,0.40214477211796246
51,"(1, 7, 1)",2,0.2680965147453083
52,"(3, 2, 7)",2,0.2680965147453083
53,"(7, 1, 6)",3,0.40214477211796246
54,"(5, 7, 4)",2,0.2680965147453083
55,"(1, 2, 1)",7,0.938337801608579
56,"(1, 4, 1)",3,0.40214477211796246
57,"(3, 5, 3)",3,0.40214477211796246
58,"(3, 7, 2)",3,0.40214477211796246
59,"(2, 7, 2)",1,0.13404825737265416
60,"(4, 3, 4)",10,1.3404825737265416
61,"(5, 7, 3)",3,0.40214477211796246
62,"(5, 7, 5)",2,0.2680965147453083
63,"(7, 1, 5)",2,0.2680965147453083
64,"(7, 3, 7)",2,0.2680965147453083
65,"(1, 5, 4)",3,0.40214477211796246
66,"(5, 7, 2)",3,0.40214477211796246
67,"(4, 3, 1)",1,0.13404825737265416
68,"(1, 2, 7)",3,0.40214477211796246
69,"(1, 7, 2)",1,0.13404825737265416
70,"(2, 7, 5)",4,0.5361930294906166
71,"(4, 1, 6)",3,0.40214477211796246
72,"(2, 6, 2)",3,0.40214477211796246
73,"(2, 5, 2)",1,0.13404825737265416
74,"(7, 4, 3)",4,0.5361930294906166
75,"(5, 1, 3)",4,0.5361930294906166
76,"(6, 2, 3)",1,0.13404825737265416
77,"(5, 4, 3)",3,0.40214477211796246
78,"(1, 3, 1)",3,0.40214477211796246
79,"(6, 7, 6)",2,0.2680965147453083
80,"(6, 1, 5)",6,0.8042895442359249
81,"(1, 6, 3)",1,0.13404825737265416
82,"(6, 1, 4)",1,0.13404825737265416
83,"(2, 4, 2)",2,0.2680965147453083
84,"(5, 2, 3)",2,0.2680965147453083
85,"(2, 1, 5)",1,0.13404825737265416
86,"(4, 2, 7)",2,0.2680965147453083
87,"(5, 4, 5)",1,0.13404825737265416
88,"(2, 4, 3)",2,0.2680965147453083
89,"(7, 1, 7)",1,0.13404825737265416
90,"(2, 3, 2)",1,0.13404825737265416
91,"(4, 1, 4)",1,0.13404825737265416
92,"(6, 3, 4)",1,0.13404825737265416
93,"(2, 4, 5)",1,0.13404825737265416
94,"(6, 7, 4)",1,0.13404825737265416
