,Pattern,Count,Percent
0,"(6, 5, 3)",2,1.1049723756906076
1,"(7, 4, 5)",2,1.1049723756906076
2,"(5, 1, 5)",1,0.5524861878453038
3,"(4, 7, 5)",22,12.154696132596685
4,"(4, 3, 5)",2,1.1049723756906076
5,"(4, 7, 4)",6,3.314917127071823
6,"(3, 4, 7)",26,14.3646408839779
7,"(6, 7, 3)",1,0.5524861878453038
8,"(4, 7, 1)",4,2.209944751381215
9,"(2, 3, 4)",5,2.7624309392265194
10,"(1, 5, 3)",1,0.5524861878453038
11,"(7, 5, 3)",18,9.94475138121547
12,"(3, 7, 2)",3,1.6574585635359116
13,"(6, 2, 4)",1,0.5524861878453038
14,"(6, 7, 2)",1,0.5524861878453038
15,"(5, 3, 4)",15,8.287292817679557
16,"(6, 1, 2)",2,1.1049723756906076
17,"(7, 6, 7)",1,0.5524861878453038
18,"(7, 5, 7)",4,2.209944751381215
19,"(5, 7, 5)",2,1.1049723756906076
20,"(6, 7, 1)",1,0.5524861878453038
21,"(5, 6, 5)",1,0.5524861878453038
22,"(7, 6, 5)",3,1.6574585635359116
23,"(4, 7, 6)",4,2.209944751381215
24,"(5, 7, 3)",3,1.6574585635359116
25,"(3, 7, 3)",1,0.5524861878453038
26,"(3, 4, 3)",5,2.7624309392265194
27,"(7, 1, 5)",1,0.5524861878453038
28,"(2, 5, 3)",5,2.7624309392265194
29,"(5, 7, 2)",2,1.1049723756906076
30,"(7, 1, 2)",1,0.5524861878453038
31,"(3, 7, 6)",1,0.5524861878453038
32,"(4, 3, 4)",3,1.6574585635359116
33,"(7, 4, 7)",3,1.6574585635359116
34,"(2, 4, 2)",1,0.5524861878453038
35,"(5, 2, 3)",1,0.5524861878453038
36,"(6, 5, 1)",2,1.1049723756906076
37,"(5, 4, 5)",1,0.5524861878453038
38,"(1, 7, 1)",1,0.5524861878453038
39,"(7, 2, 7)",2,1.1049723756906076
40,"(5, 1, 7)",4,2.209944751381215
41,"(1, 3, 4)",1,0.5524861878453038
42,"(4, 5, 2)",1,0.5524861878453038
43,"(3, 5, 3)",1,0.5524861878453038
44,"(4, 7, 2)",2,1.1049723756906076
45,"(1, 2, 4)",1,0.5524861878453038
46,"(7, 6, 2)",1,0.5524861878453038
47,"(1, 2, 1)",1,0.5524861878453038
48,"(6, 2, 1)",1,0.5524861878453038
49,"(7, 3, 2)",1,0.5524861878453038
50,"(2, 7, 4)",1,0.5524861878453038
51,"(6, 3, 4)",1,0.5524861878453038
52,"(6, 1, 4)",1,0.5524861878453038
53,"(6, 2, 5)",1,0.5524861878453038
54,"(6, 7, 4)",1,0.5524861878453038
55,"(1, 7, 2)",1,0.5524861878453038
